docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S2213158213000582-1279	1	Quantity	143	146	1	500	"{""unit"": ""500""}"
S2213158213000582-1279	1	MeasuredEntity	147	173	3	ms inter-stimulus interval	"{""HasQuantity"": ""1""}"
S2213158213000582-1279	2	Quantity	211	245	2	between 7 and 11 s, averaging 9 s.	"{""unit"": ""s""}"
S2213158213000582-1279	2	MeasuredEntity	183	210	4	inter-trial interval jitter	"{""HasQuantity"": ""2""}"
S2213158213000582-1279	3	Quantity	358	369	5	35 dB above	"{""unit"": ""above""}"
S2213158213000582-1279	3	MeasuredEntity	370	402	6	each subject's hearing threshold	"{""HasQuantity"": ""5""}"
S2213158213000582-1279	4	Quantity	415	431	7	150 click trials	"{""unit"": ""trials""}"
S2213158213000582-1279	5	Quantity	462	486	8	approximately 25 minutes	"{""unit"": ""minutes""}"
S2213158213000582-1279	6	Quantity	556	569	9	50 and 100 ms	"{""unit"": ""ms""}"
S2213158213000582-1279	6	MeasuredEntity	541	552	10	S1 activity	"{""HasQuantity"": ""9""}"
