docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0016236113008041-3257	1	Quantity	334	338	1	0.34	"{""unit"": ""0.34""}"
S0016236113008041-3257	2	Quantity	380	385	2	0.67%	"{""unit"": ""%""}"
S0016236113008041-3257	3	Quantity	390	395	3	0.66%	"{""unit"": ""%""}"
S0016236113008041-3257	4	Quantity	400	415	4	4.5 kg and 6 kg	"{""unit"": ""kg""}"
S0016236113008041-3257	4	MeasuredEntity	416	423	8	samples	"{""HasQuantity"": ""4""}"
S0016236113008041-3257	5	Quantity	466	471	5	3.98%	"{""unit"": ""%""}"
S0016236113008041-3257	6	Quantity	476	481	6	13 kg	"{""unit"": ""kg""}"
S0016236113008041-3257	6	MeasuredProperty	482	488	7	sample	"{""HasQuantity"": ""6""}"
S0016236113008041-3257	6	MeasuredEntity	492	499	9	sorbent	"{""HasQuantity"": ""6""}"
S0016236113008041-3257	7	Quantity	869	885	11	Ca between tests	"{""unit"": ""tests""}"
