docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S175058361300203X-1240	1	Quantity	482	503	1	approximately 6.2 MPa	"{""unit"": ""MPa""}"
S175058361300203X-1240	1	MeasuredProperty	440	451	2	temperature	"{""HasQuantity"": ""1""}"
S175058361300203X-1240	1	MeasuredEntity	412	425	3	CO2 injection	"{""HasQuantity"": ""1""}"
S175058361300203X-1240	2	Quantity	508	513	4	34 °C	"{""unit"": ""C""}"
S175058361300203X-1240	3	Quantity	696	718	5	approximately 7.73 MPa	"{""unit"": ""MPa""}"
S175058361300203X-1240	4	Quantity	723	728	6	38 °C	"{""unit"": ""C""}"
S175058361300203X-1240	4	MeasuredEntity	786	801	7	injection depth	"{""HasQuantity"": ""6""}"
S175058361300203X-1240	5	Quantity	1098	1114	8	around 260 kg/m3	"{""unit"": ""kg""}"
S175058361300203X-1240	5	MeasuredEntity	1082	1093	9	CO2 density	"{""HasQuantity"": ""8""}"
S175058361300203X-1240	6	Quantity	1139	1144	10	38 °C	"{""unit"": ""C""}"
S175058361300203X-1240	6	MeasuredProperty	1122	1137	11	injection point	"{""HasQuantity"": ""10""}"
S175058361300203X-1240	7	Quantity	1182	1191	12	320 kg/m3	"{""unit"": ""kg""}"
S175058361300203X-1240	8	Quantity	1265	1270	13	34 °C	"{""unit"": ""C""}"
