docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0378383913001567-6892	1	Quantity	15	19	1-1	40 m	"{""unit"": ""kg""}"
S0378383913001567-6892	8	Quantity	357	373	8-1	121 × 53 regular	"{""unit"": ""kg""}"
S0378383913001567-6892	5	Quantity	151	156	5-1	10 m.	"{""unit"": ""kg""}"
S0378383913001567-6892	2	Quantity	29	33	2-1	90 m	"{""unit"": ""kg""}"
S0378383913001567-6892	4	Quantity	110	115	4-1	5° to	"{""unit"": ""kg""}"
S0378383913001567-6892	3	Quantity	44	47	3-1	two	"{""unit"": ""kg""}"
S0378383913001567-6892	7	Quantity	208	216	7-1	121 × 53	"{""unit"": ""kg""}"
S0378383913001567-6892	10	Quantity	469	472	10-1	2.5	"{""unit"": ""kg""}"
S0378383913001567-6892	10	MeasuredEntity	418	433	10-2	the water depth	"{""HasQuantity"": ""10-1""}"
S0378383913001567-6892	9	Quantity	438	441	9-1	1 m	"{""unit"": ""kg""}"
S0378383913001567-6892	6	Quantity	185	188	6-1	two	"{""unit"": ""kg""}"
