docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0019103511004994-1607	3	Quantity	465	476	3-1	four panels	"{""unit"": ""kg""}"
S0019103511004994-1607	3	MeasuredEntity	393	411	3-2	different energies	"{""HasQuantity"": ""3-1""}"
S0019103511004994-1607	3	MeasuredProperty	445	451	3-3	detail	"{""HasQuantity"": ""3-1""}"
S0019103511004994-1607	7	Quantity	1318	1321	7-1	two	"{""unit"": ""kg""}"
S0019103511004994-1607	2	Quantity	331	334	2-1	two	"{""unit"": ""kg""}"
S0019103511004994-1607	2	MeasuredEntity	304	320	2-2	the measurements	"{""HasQuantity"": ""2-1""}"
S0019103511004994-1607	5	Quantity	554	583	5-1	115° during E12 and about 75°	"{""unit"": ""kg""}"
S0019103511004994-1607	1	Quantity	183	188	1-1	50 km	"{""unit"": ""kg""}"
S0019103511004994-1607	6	Quantity	1084	1100	6-1	tens to hundreds	"{""unit"": ""kg""}"
S0019103511004994-1607	4	Quantity	506	509	4-1	two	"{""unit"": ""kg""}"
