docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0038071711004354-1644	1	Quantity	43	50	1	14.8 °C	"{""unit"": ""C""}"
S0038071711004354-1644	1	MeasuredProperty	16	39	2	mean annual temperature	"{""HasQuantity"": ""1""}"
S0038071711004354-1644	2	Quantity	85	91	3	898 mm	"{""unit"": ""mm""}"
S0038071711004354-1644	2	MeasuredEntity	179	189	5	hot summer	"{""HasQuantity"": ""3""}"
S0038071711004354-1644	3	Quantity	301	307	6	2–5 cm	"{""unit"": ""cm""}"
S0038071711004354-1644	3	MeasuredProperty	308	317	7	thickness	"{""HasQuantity"": ""6""}"
S0038071711004354-1644	3	MeasuredEntity	267	300	8	fresh and decaying organic matter	"{""HasProperty"": ""7""}"
S0038071711004354-1644	4	Quantity	345	360	9	uppermost 0.1 m	"{""unit"": ""m""}"
S0038071711004354-1644	5	Quantity	394	397	10	93%	"{""unit"": ""%""}"
S0038071711004354-1644	5	MeasuredProperty	364	390	11	mineral soil characterized	"{""HasQuantity"": ""10""}"
S0038071711004354-1644	5	MeasuredProperty	398	402	12	sand	"{""HasQuantity"": ""10""}"
S0038071711004354-1644	6	Quantity	404	406	13	4%	"{""unit"": ""%""}"
S0038071711004354-1644	6	MeasuredEntity	407	411	14	clay	"{""HasQuantity"": ""13""}"
S0038071711004354-1644	7	Quantity	417	419	15	3%	"{""unit"": ""%""}"
