docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S1873506113001116-1369	1	Quantity	51	72	1	more than 10 passages	
S1873506113001116-1369	1	MeasuredProperty	20	46	2	cultured in spinner flasks	
S1873506113001116-1369	1	MeasuredEntity	0	19	3	BC1 and TNC1 hiPSCs	
S1873506113001116-1369	2	Quantity	399	402	4	10%	
S1873506113001116-1369	2	MeasuredEntity	403	408	5	serum	
S1873506113001116-1369	3	Quantity	434	446	6	After 8 days	
S1873506113001116-1369	3	MeasuredProperty	450	463	8	spinner flask	
S1873506113001116-1369	4	Quantity	476	482	7	4 days	
S1873506113001116-1369	4	MeasuredProperty	486	548	9	gelatin-coated tissue culture plates in differentiation medium	
S1873506113001116-1369	4	MeasuredEntity	550	580	10	cells of all three germ layers	
S1873506113001116-1369	5	Quantity	1185	1199	11	43.57% ± 4.35%	
S1873506113001116-1369	5	MeasuredEntity	1164	1168	18	TNC1	
S1873506113001116-1369	6	Quantity	1205	1206	12	3	
S1873506113001116-1369	6	MeasuredProperty	1201	1202	15	n	
S1873506113001116-1369	7	Quantity	1212	1226	13	43.22% ± 7.13%	
S1873506113001116-1369	8	Quantity	1232	1233	14	3	
S1873506113001116-1369	8	MeasuredProperty	1228	1229	16	n	
S1873506113001116-1369	9	Quantity	1533	1539	20	0.0307	
S1873506113001116-1369	9	MeasuredProperty	1529	1530	22	P	
S1873506113001116-1369	9	MeasuredEntity	1468	1488	24	total number of CFUs	
S1873506113001116-1369	10	Quantity	1545	1546	21	3	
S1873506113001116-1369	10	MeasuredProperty	1541	1542	23	n	
