docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0378383913001567-6892	1	Quantity	15	19	1	40 m	
S0378383913001567-6892	2	Quantity	29	33	2	90 m	
S0378383913001567-6892	2	MeasuredProperty	34	38	8	long	
S0378383913001567-6892	3	Quantity	108	112	3	= 5°	
S0378383913001567-6892	3	MeasuredProperty	100	107	9	angle β	
S0378383913001567-6892	4	Quantity	151	156	4	10 m.	
S0378383913001567-6892	5	Quantity	185	188	5	two	
S0378383913001567-6892	6	Quantity	208	216	6	121 × 53	
S0378383913001567-6892	6	MeasuredEntity	217	241	10	regular curvilinear grid	
S0378383913001567-6892	7	Quantity	357	365	7	121 × 53	
S0378383913001567-6892	7	MeasuredEntity	366	378	11	regular grid	
S0378383913001567-6892	8	Quantity	438	441	12	1 m	
S0378383913001567-6892	8	MeasuredProperty	428	435	14	depth h	
S0378383913001567-6892	8	MeasuredEntity	422	427	15	water	
S0378383913001567-6892	9	Quantity	469	472	13	2.5	
