docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0301010413004096-767	1	Quantity	161	169	1	500 meV.	
S0301010413004096-767	1	MeasuredEntity	33	51	2	TOSCA spectrometer	
S0301010413004096-767	2	Quantity	211	214	3	∼1%	
S0301010413004096-767	3	Quantity	256	262	5	∼2.5 g	
S0301010413004096-767	4	Quantity	387	396	6	10−7 mbar	
S0301010413004096-767	5	Quantity	401	407	7	120 °C	
S0301010413004096-767	6	Quantity	412	417	8	1 day	
S0301010413004096-767	7	Quantity	579	588	9	5 ± 0.2 K	
S0301010413004096-767	8	Quantity	615	620	10	99.5%	
S0301010413004096-767	9	Quantity	654	661	11	40–50 K	
S0301010413004096-767	10	Quantity	762	765	12	5 K	
