docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0960148113005727-1466	1	Quantity	36	42	1	100 MW	
S0960148113005727-1466	2	Quantity	60	65	2	28.5%	
S0960148113005727-1466	3	Quantity	87	109	3	4.99 TWh over 20 years	
S0960148113005727-1466	4	Quantity	165	177	4	−0.41 points	
S0960148113005727-1466	5	Quantity	188	198	5	first year	
S0960148113005727-1466	6	Quantity	231	239	6	4.37 TWh	
S0960148113005727-1466	7	Quantity	251	256	7	12.5%	
S0960148113005727-1466	8	Quantity	512	515	8	10%	
S0960148113005727-1466	9	Quantity	576	578	9	9%	
S0960148113005727-1466	10	Quantity	585	623	10	approximately £90 [4,5] to £98 per MWh	
