docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0950705113001895-23682	1	Quantity	300	303	1	two	"{""unit"": ""two""}"
S0950705113001895-23682	1	MeasuredEntity	392	411	3	same updating ratio	"{""HasQuantity"": ""1""}"
S0950705113001895-23682	2	Quantity	564	566	4	5%	"{""unit"": ""%""}"
S0950705113001895-23682	2	MeasuredEntity	537	551	5	updating ratio	"{""HasQuantity"": ""4""}"
S0950705113001895-23682	3	Quantity	657	660	6	two	"{""unit"": ""two""}"
S0950705113001895-23682	3	MeasuredEntity	661	671	7	algorithms	"{""HasQuantity"": ""6""}"
S0950705113001895-23682	4	Quantity	787	790	8	two	"{""unit"": ""two""}"
S0950705113001895-23682	4	MeasuredEntity	791	801	9	algorithms	"{""HasQuantity"": ""8""}"
S0950705113001895-23682	5	Quantity	950	953	10	two	"{""unit"": ""two""}"
S0950705113001895-23682	5	MeasuredEntity	954	964	11	algorithms	"{""HasQuantity"": ""10""}"
