docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0038071711004354-1644	1	Quantity	43	50	1	14.8 °C	"{""unit"": ""C""}"
S0038071711004354-1644	1	MeasuredProperty	16	39	2	mean annual temperature	"{""HasQuantity"": ""1""}"
S0038071711004354-1644	2	Quantity	85	91	3	898 mm	"{""unit"": ""mm""}"
S0038071711004354-1644	2	MeasuredEntity	56	81	4	mean annual precipitation	"{""HasQuantity"": ""3""}"
S0038071711004354-1644	3	Quantity	301	307	5	2–5 cm	"{""unit"": ""cm""}"
S0038071711004354-1644	3	MeasuredProperty	308	317	6	thickness	"{""HasQuantity"": ""5""}"
S0038071711004354-1644	3	MeasuredEntity	267	300	7	fresh and decaying organic matter	"{""HasQuantity"": ""5""}"
S0038071711004354-1644	4	Quantity	345	360	8	uppermost 0.1 m	"{""unit"": ""m""}"
S0038071711004354-1644	5	Quantity	394	397	9	93%	"{""unit"": ""%""}"
S0038071711004354-1644	5	MeasuredProperty	364	390	10	mineral soil characterized	"{""HasQuantity"": ""9""}"
S0038071711004354-1644	5	MeasuredProperty	398	402	11	sand	"{""HasQuantity"": ""9""}"
S0038071711004354-1644	6	Quantity	404	406	12	4%	"{""unit"": ""%""}"
S0038071711004354-1644	6	MeasuredProperty	407	411	13	clay	"{""HasQuantity"": ""12""}"
S0038071711004354-1644	7	Quantity	417	419	14	3%	"{""unit"": ""%""}"
