docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0960148113005727-1466	1	Quantity	36	42	1	100 MW	"{""unit"": ""MW""}"
S0960148113005727-1466	1	MeasuredProperty	4	30	2	cumulative lifetime output	"{""HasQuantity"": ""1""}"
S0960148113005727-1466	1	MeasuredEntity	43	52	3	wind farm	"{""HasProperty"": ""2""}"
S0960148113005727-1466	2	Quantity	60	65	4	28.5%	"{""unit"": ""%""}"
S0960148113005727-1466	2	MeasuredEntity	66	77	5	load factor	"{""HasQuantity"": ""4""}"
S0960148113005727-1466	3	Quantity	87	109	6	4.99 TWh over 20 years	"{""unit"": ""years""}"
S0960148113005727-1466	4	Quantity	231	239	7	4.37 TWh	"{""unit"": ""TWh""}"
S0960148113005727-1466	4	MeasuredEntity	134	177	8	linear annual deterioration of −0.41 points	"{""HasQuantity"": ""7""}"
S0960148113005727-1466	5	Quantity	251	256	9	12.5%	"{""unit"": ""%""}"
S0960148113005727-1466	5	MeasuredProperty	243	247	10	fall	"{""HasQuantity"": ""9""}"
S0960148113005727-1466	6	Quantity	512	515	11	10%	"{""unit"": ""%""}"
S0960148113005727-1466	6	MeasuredProperty	495	508	12	discount rate	"{""HasQuantity"": ""11""}"
S0960148113005727-1466	7	Quantity	576	578	13	9%	"{""unit"": ""%""}"
