docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0927024813002961-1051	1	Quantity	799	803	1	five	
S0927024813002961-1051	1	MeasuredEntity	804	821	2	main contributors	
S0927024813002961-1051	2	Quantity	967	970	3	two	
S0927024813002961-1051	2	MeasuredEntity	971	978	4	effects	
S0927024813002961-1051	3	Quantity	1210	1214	5	2–7%	
S0927024813002961-1051	3	MeasuredEntity	1161	1183	6	performance variations	
S0927024813002961-1051	4	Quantity	1457	1472	7	range of 10–15%	
S0927024813002961-1051	5	Quantity	1626	1635	8	up to 25%	
S0927024813002961-1051	5	MeasuredProperty	1636	1645	9	variation	
S0927024813002961-1051	5	MeasuredEntity	1654	1671	10	different devices	
