docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S030881461301604X-1002	1	Quantity	0	3	1	Two	
S030881461301604X-1002	1	MeasuredEntity	4	19	7	stock solutions	
S030881461301604X-1002	2	Quantity	110	118	2	100 mg/L	
S030881461301604X-1002	2	MeasuredProperty	90	104	6	concentrations	
S030881461301604X-1002	2	MeasuredEntity	82	85	9	MMA	
S030881461301604X-1002	3	Quantity	123	129	3	1 mg/L	
S030881461301604X-1002	4	Quantity	168	175	4	10 mg/L	
S030881461301604X-1002	5	Quantity	180	187	5	0.1 mg/	
S030881461301604X-1002	6	Quantity	187	189	10	L.	
S030881461301604X-1002	7	Quantity	240	242	11	1%	
S030881461301604X-1002	7	MeasuredEntity	227	238	12	nitric acid	
S030881461301604X-1002	8	Quantity	410	434	13	1, 5, 10, 20 and 50 μg/L	
S030881461301604X-1002	8	MeasuredEntity	357	386	15	final standard concentrations	
S030881461301604X-1002	9	Quantity	438	440	14	1%	
S030881461301604X-1002	9	MeasuredEntity	441	452	16	nitric acid	
