docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S2213671113001306-1520	1	Quantity	305	315	1	30-degrees	
S2213671113001306-1520	1	MeasuredProperty	319	339	2	visual-field setting	
S2213671113001306-1520	1	MeasuredEntity	347	357	3	Spectralis	
S2213671113001306-1520	2	Quantity	391	396	4	60 μm	
S2213671113001306-1520	2	MeasuredProperty	397	413	6	distance between	
S2213671113001306-1520	2	MeasuredEntity	419	423	8	scan	
S2213671113001306-1520	3	Quantity	447	462	5	20 × 20 degrees	
S2213671113001306-1520	3	MeasuredProperty	466	478	7	visual field	
S2213671113001306-1520	3	MeasuredEntity	433	439	9	device	
S2213671113001306-1520	4	Quantity	626	632	10	4.2 mm	
S2213671113001306-1520	4	MeasuredProperty	576	602	11	corneal curvature settings	
S2213671113001306-1520	4	MeasuredEntity	564	575	12	Spectralis’	
S2213671113001306-1520	5	Quantity	682	692	13	30 degrees	
S2213671113001306-1520	5	MeasuredProperty	696	708	14	visual field	
S2213671113001306-1520	5	MeasuredEntity	732	738	15	device	
