docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S016412121300188X-4392	1	Quantity	97	101	1	1.00	
S016412121300188X-4392	1	MeasuredProperty	84	93	5	precision	
S016412121300188X-4392	2	Quantity	139	143	2	100%	
S016412121300188X-4392	2	MeasuredProperty	144	152	6	accurate	
S016412121300188X-4392	2	MeasuredEntity	122	135	8	hash function	
S016412121300188X-4392	3	Quantity	241	243	3	1/	
S016412121300188X-4392	3	MeasuredProperty	228	237	7	precision	
S016412121300188X-4392	3	MeasuredEntity	261	274	9	hash function	
S016412121300188X-4392	4	Quantity	333	334	4	1	
S016412121300188X-4392	4	MeasuredEntity	328	330	10	UH	
